0,1,2
142589,153908,
145149,149666,
143171,149439,
143149,149630,
143034,153528,
147702,153295,
148545,150939,
142368,149669,
148621,149667,
145574,152689,
148226,149284,
146083,154044,
146747,153691,
148209,153779,
148227,159241,
143370,149685,
143408,152923,
146089,152715,
145130,151542,
144769,149272,
142649,149271,
144729,149384,
144809,149047,
146053,153722,
146960,150535,
146959,154124,
146367,149231,
146352,151543,
146340,154160,
144630,152185,
145048,153292,
148420,154623,
143230,151560,
148207,151544,
146701,151399,
148742,149623,
147059,153708,
148224,153679,
146250,149275,
147679,154486,
148199,149744,
145850,152919,
141930,151379,
146843,149689,
146844,151019,
145919,149807,
145690,151021,
145941,151020,
144950,152303,
145110,151579,
145960,149690,
144820,154220,
144768,154122,
148203,153600,
146979,150760,
145348,160406,
145368,153323,
144749,153819,
143033,153730,
142999,158646,
143329,158647,
144691,158664,
142393,151641,
143809,151640,
144788,158648,
148722,153527,
146159,150169,
146102,152123,
143411,152047,
146082,152048,
145612,150061,
148225,149273,
145668,154659,
147420,153731,
147439,150527,
146503,152924,
145688,149562,
145109,149561,
148119,149322,
146051,153982,
146104,153749,
146103,149625,
147499,150002,
147479,149680,
146870,152041,
148261,152121,
146081,152122,
148464,150799,
146506,151521,
146561,150526,
143750,151819,
144492,149088,
144517,150841,
148500,152299,
144510,153349,
146386,149276,
147440,149285,
148539,154341,
147981,154427,
146041,150529,
148005,149252,
146459,154302,
144289,154163,
148260,150439,
146097,149665,
144489,149687,
142529,149683,
146641,150840,
146645,153282,
146365,149061,
146350,150539,
147859,151659,
142313,151279,
142329,151261,
144968,149379,
147181,151923,
144896,152443,
142992,154962,
148741,151939,
148541,153464,
143950,152183,
148543,150370,
146705,150369,
142633,149259,
148220,149224,
145853,152198,
147220,149627,
144429,153685,
144519,154179,
144771,154806,
147463,152780,
148239,149695,
147190,148863,
143039,149028,
142630,150879,
148140,150364,
147341,149079,
142154,158726,
147705,153465,
143331,149046,
142170,150175,
146859,153919,
144908,151681,
143003,154159,
143368,149499,
145371,150202,
143412,152419,
144514,148979,
143413,159705,
143248,152904,
146050,149029,
143429,152980,
146839,151401,
146500,150174,
148211,149060,
146524,158801,
148219,152999,
146181,149225,
145889,152981,
147711,151419,
143913,154262,
143169,149324,
144895,154263,
146963,153106,
146180,149860,
146401,149859,
142873,150161,
147340,151142,
143713,153166,
148550,149005,
148549,149899,
146525,153289,
143050,153111,
144512,153801,
141928,154425,
142088,154443,
146464,154480,
146651,154479,
147602,153105,
144814,152953,
142108,152790,
143969,150534,
146748,152479,
143188,152179,
144813,152791,
142148,152792,
147239,150533,
144894,158704,
147919,152717,
147904,152685,
145068,149027,
144868,149003,
142911,150843,
148221,150900,
144515,152079,
142908,152080,
148562,151459,
146542,154660,
143730,149814,
146061,149488,
142429,150062,
146079,154499,
145748,150279,
145570,150260,
144508,150264,
146864,150265,
148799,149069,
147841,153560,
147619,152910,
145578,150359,
143573,151239,
143749,150319,
144629,153604,
148723,153603,
144889,153620,
142654,150842,
143057,151447,
147561,152580,
146003,149539,
142314,149068,
145900,149700,
147242,151744,
146462,150519,
146522,150500,
148242,150261,
142308,150162,
143391,152083,
146523,154320,
144819,154103,
146322,154105,
146863,154319,
145309,150339,
144088,150099,
143388,160975,
142855,150262,
146260,150614,
144588,149399,
148385,152786,
147401,152803,
144168,152785,
148279,153290,
146339,153321,
146245,160979,
144970,160786,
145569,149163,
148002,152987,
144648,154502,
146324,149241,
143628,153923,
148244,152424,
142309,152288,
143568,150366,
146439,150367,
145628,150368,
143630,150365,
145428,150101,
143041,150100,
144076,150120,
144011,150323,
147879,152294,
144288,152720,
143968,159282,
145468,159302,
148561,155056,
148499,160023,
142316,157864,
147460,152240,
148360,149441,
147179,151739,
145489,153499,
147982,153807,
146371,154079,
146740,150559,
145949,153339,
146820,153915,
142635,149460,
145891,152903,
142632,152844,
146919,149939,
146467,150660,
142993,152369,
146879,150343,
144268,154200,
146582,149743,
145689,150761,
146370,155020,
145810,150201,
146379,152940,
148390,153827,
146361,150605,
143828,150620,
147361,149249,
145250,153981,
146364,154639,
145590,153324,
143830,152783,
147961,154119,
145159,153142,
148386,152644,
143588,149229,
146939,149021,
146381,149809,
144833,153579,
144109,150742,
145709,154260,
141850,154106,
146327,154165,
143808,150223,
143348,152295,
144012,149071,
142728,150139,
144428,152959,
147000,151161,
146002,152643,
144188,152900,
145961,150222,
145160,151359,
146285,152694,
145848,149981,
144728,153979,
148555,151840,
145952,152160,
145948,152739,
143869,150160,
stop,150183,
,152925,
,154123,
,153959,
,152784,
,159203,
,153461,
,154202,
,153565,
,151683,
,154201,
,152364,
,154040,
,153114,
,148899,
,153983,
,150263,
,150740,
,152302,
,154080,
,153912,
,152599,
,153721,
,149253,
,149043,
,152189,
,150899,
,153561,
,153841,
,152488,
,149263,
,150173,
,150501,
,149359,
,149240,
,152983,
,150380,
,150363,
,150719,
,151099,
,153914,
,150206,
,158884,
,151420,
,154209,
,152187,
,154101,
,150362,
,149741,
,153817,
,153382,
,154019,
,153108,
,153559,
,154041,
,149861,
,152190,
,150159,
,151619,
,154661,
,152022,
,149481,
,153523,
,153828,
,154000,
,153468,
,149045,
,153110,
